table_name,measure_name,expression,formatString,isHidden
D6 Medidas,D6 Mediana OC por LIC (global),MAX ( D6_kpi_resumen[mediana_oc_por_lic] ),0,False
D6 Medidas,D6 Mediana LIC por OC (global),MAX ( D6_kpi_resumen[mediana_lic_por_oc] ),0,False
D6 Medidas,D6 LIC Total (Sector/Moneda),SUM ( D6_cruces_sector_moneda[lic_total] ),"#,0",False
D6 Medidas,D6 LIC con OC (Sector/Moneda),SUM ( D6_cruces_sector_moneda[lic_con_oc] ),"#,0",False
D6 Medidas,D6 % LIC con OC (Sector/Moneda),"['', 'VAR denom = [D6 LIC Total (Sector/Moneda)]', 'RETURN IF ( denom = 0 || ISBLANK(denom), BLANK(), DIVIDE( [D6 LIC con OC (Sector/Moneda)], denom ) )']",,False
D6 Medidas,D6 % LIC con OC (Safe),"['', 'VAR total_lic = [D6 LIC Total]', 'VAR lic_con_oc = [D6 LIC con OC]', 'RETURN', 'IF(', '    total_lic = 0,', '    0,', '    DIVIDE(lic_con_oc, total_lic, 0)', ')']",0.00\ %;-0.00\ %;0.00\ %,False
D6 Medidas,D6 % OC con LIC (Safe),"['', 'VAR total_oc   = [D6 OC Total]', 'VAR oc_con_lic = [D6 OC con LIC]', 'RETURN', 'IF(', '    total_oc = 0,', '    0,', '    DIVIDE(oc_con_lic, total_oc, 0)', ')']",0.00\ %;-0.00\ %;0.00\ %,False
D6 Medidas,D6_Label,"['', '""ℹ️""']",,False
D6 Medidas,D6 Frec LIC (0/1) por periodo,"['', 'CALCULATE(', '    SUM ( D6_dist_lic_por_oc_mes[frecuencia_lic] ),', '    TREATAS(', '        VALUES ( dim_periodo_cruce[Periodo_YM] ),', '        D6_dist_lic_por_oc_mes[Periodo_YM]', '    )', ')']","#,0",False
D6 Medidas,Cobertura LIC con OC (%),"['', 'DIVIDE(', '    SUM(D6_cruces_sector_moneda[lic_con_oc]),', '    SUM(D6_cruces_sector_moneda[lic_total]),', '    0', ')']",0.00\ %;-0.00\ %;0.00\ %,False
D6 Medidas,D6 % LIC con OC (Label Último),"['', 'VAR _maxPeriodo =', '    MAXX(', '        ALLSELECTED( dim_periodo_cruce[Periodo_YM] ),', '        dim_periodo_cruce[Periodo_YM]', '    )', 'VAR _periodoActual =', '    MAX( dim_periodo_cruce[Periodo_YM] )', 'RETURN', 'IF(', '    _periodoActual = _maxPeriodo,', '    [D6 % LIC con OC (Safe)],', '    BLANK()', ')']",0.00\ %;-0.00\ %;0.00\ %,False
D6 Medidas,D6 % OC con LIC (Label Último),"['', 'VAR _maxPeriodo =', '    MAXX(', '        ALLSELECTED( dim_periodo_cruce[Periodo_YM] ),', '        dim_periodo_cruce[Periodo_YM]', '    )', 'VAR _periodoActual =', '    MAX( dim_periodo_cruce[Periodo_YM] )', 'RETURN', 'IF(', '    _periodoActual = _maxPeriodo,', '    [D6 % OC con LIC (Safe)],', '    BLANK()', ')']",0.00\ %;-0.00\ %;0.00\ %,False
RECON Medidas,LIC_Num(etiqueta),"['', ""COUNTROWS ( 'dw_sem.v_fact_licitaciones_sem_v2' )""]","#,0",False
RECON Medidas,OC_Conteo(etiqueta),"['', ""COUNTROWS ( 'dw_sem v_fact_ordenes_compra_sem' )""]",0,False
RECON Medidas,OC_Monto_Total(tabla-etiqueta),"['', ""SUM ( 'dw_sem v_fact_ordenes_compra_sem_v2'[monto_total] )""]","#,0",False
RECON Medidas,OC_Monto_Total(etiqueta)(Fecha Aceptación válida),"['', 'CALCULATE (', ""    SUM ( 'dw_sem v_fact_ordenes_compra_sem_v2'[monto_total] ),"", ""    NOT ISBLANK ( 'dw_sem v_fact_ordenes_compra_sem_v2'[fecha_aceptacion_sk] )"", ')']","#,0",False
RECON Medidas,LIC_Conteo(tabla),"['', ""COUNTROWS ( 'dw_sem.v_fact_licitaciones_sem_v2' )""]","#,0",False
RECON Medidas,OC_Conteo_Total(tabla),"['', ""COUNTROWS ( 'dw_sem v_fact_ordenes_compra_sem_v2' )""]","#,0",False
RECON Medidas,OC_Monto_Total(etiqueta),"['', ""SUM ( 'dw_sem v_fact_ordenes_compra_sem'[monto_total] )""]",,False
